GENE	H1.DN	H1.KO2	H1.AzLow	H1.AzHigh	H2.DN	H2.KO2	H2.AzLow	H2.AzHigh	H3.DN	H3.KO2	H3.AzLow	H3.AzHigh
NM_001067_TOP2A	37.98	18.59	58.98	81.13	40.96	17.85	82.26	121.91	57.77	35.06	88.61	119.28
NM_001042625_CAPSL	0.03	0.00	0.03	0.02	0.02	0.00	0.02	0.00	0.00	0.00	0.05	0.00
NM_001042415_ZNF596	0.00	0.00	0.00	0.21	0.00	0.00	0.25	0.38	0.00	0.00	0.00	0.13
NM_001040451_RUFY1	1.87	1.78	0.88	0.91	1.70	1.65	1.62	0.00	2.15	2.40	1.29	0.00
NM_001040125_PQLC2	3.64	3.50	0.00	0.00	1.99	1.49	0.99	0.96	2.15	3.72	1.32	0.94
NM_001040023_SIRPA	0.24	0.78	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.34	0.00	0.00
NM_001039888_ANKRD34A	0.07	0.14	0.04	0.07	0.18	0.21	0.10	0.11	0.09	0.15	0.06	0.11
NM_001039650_ZMYM5	0.00	0.00	0.00	0.97	1.33	0.00	0.00	3.00	0.00	0.00	0.00	1.35
NM_001039569_AP1S3	0.96	1.78	0.61	2.22	1.10	1.68	0.98	2.57	0.88	0.75	0.66	2.01
NM_001039127_ZNF718	0.00	1.83	0.00	0.00	0.00	1.57	0.00	1.44	0.00	1.40	0.00	0.00
NM_001038493_DLX1	0.09	0.12	0.08	0.00	0.00	0.04	0.00	0.00	0.00	0.07	0.02	0.00
NM_001037558_HEPN1	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.00
NM_001035256_POMC	0.00	0.32	0.00	0.00	0.00	0.20	0.00	0.00	0.11	0.20	0.16	0.00
NM_001033047_NPNT	0.00	0.10	0.00	0.06	0.11	0.18	0.17	0.22	0.08	0.16	0.00	0.21
NM_001029891_PGAM4	42.21	39.03	0.00	37.94	35.87	30.78	0.00	0.00	38.80	40.58	0.00	37.69
NM_001024946_ASL	0.00	0.00	1.62	1.24	0.00	0.00	0.95	0.00	0.00	0.00	1.93	0.00
NM_001017916_CYB561	0.96	1.49	0.00	0.65	0.00	1.56	0.00	0.54	0.00	1.07	0.00	0.00
NM_001012970_C1orf100	0.05	0.00	0.00	0.05	0.03	0.00	0.00	0.09	0.05	0.00	0.00	0.08
NM_001011708_OLA1	0.00	0.00	6.90	0.00	0.00	0.00	3.73	2.56	2.19	0.00	2.73	0.00
NM_001010979_C1orf189	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.13
NM_001010926_HES5	0.00	0.00	0.00	0.03	0.12	0.05	0.09	0.27	0.03	0.02	0.00	0.19
NM_001010886_C6orf127	0.00	0.00	0.15	0.06	0.04	0.25	0.30	0.12	0.00	0.05	0.13	0.00
NM_001009606_HS3ST6	0.00	0.00	0.00	0.04	0.00	0.00	0.11	0.20	0.04	0.08	0.12	0.41
NM_001008749_RAB19	0.00	0.00	0.40	0.00	0.00	0.00	0.30	0.00	0.24	0.00	0.39	0.33
NM_001008738_FNIP1	0.53	1.22	0.00	0.37	0.00	0.36	0.00	0.00	0.00	1.74	0.00	0.00
NM_001007259_SETD4	2.26	0.00	2.73	0.00	0.00	0.00	1.42	0.00	0.00	0.00	2.18	0.00
NM_001006616_TSPAN17	2.58	0.00	2.32	2.01	3.94	0.00	0.00	0.00	4.73	0.00	3.61	1.86
NM_001005482_OR5H2	0.00	0.06	0.00	0.04	0.00	0.03	0.00	0.00	0.00	0.09	0.09	0.00
NM_001005464_HIST2H3A	0.00	0.00	0.92	0.50	0.00	0.00	0.50	0.41	0.00	0.00	0.60	0.13
NM_001004298_C10orf90	0.01	0.01	0.05	0.06	0.03	0.01	0.05	0.06	0.03	0.04	0.05	0.06
NM_001002843_ZNF280D	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.26	0.00	0.00	0.30	0.38
NM_001001891_ANO7	0.45	0.00	0.00	0.00	0.32	0.00	0.00	0.06	0.46	0.00	0.00	0.00
NM_001001802_OR2A42	0.00	0.19	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.15	0.00	0.00
NM_001001662_ZNF782	0.41	0.94	0.40	0.00	0.94	1.00	0.73	0.00	0.67	0.92	0.21	0.44
NM_000970_RPL6	0.00	0.00	0.00	13.97	0.00	18.15	13.06	35.51	14.60	35.26	24.99	66.43
NM_000965_RARB	0.09	0.00	0.09	0.00	0.15	0.14	0.18	0.00	0.09	0.00	0.14	0.00
NM_000906_NPR1	2.23	0.00	2.22	1.35	1.53	0.93	1.88	1.08	8.07	3.08	5.13	2.67
NM_000841_GRM4	8.49	4.13	7.30	10.86	3.92	1.15	1.41	2.41	4.43	3.74	3.80	8.91
NM_000721_CACNA1E	0.00	0.03	0.04	0.07	0.01	0.06	0.10	0.18	0.10	0.00	0.11	0.14
NM_000635_RFX2	0.00	0.13	0.48	0.00	0.09	0.00	0.62	0.00	0.00	0.00	0.11	0.00
NM_000523_HOXD13	0.03	0.18	0.00	0.01	0.03	0.04	0.01	0.03	0.02	0.05	0.00	0.00
NM_000515_GH1	0.00	0.00	0.00	0.09	0.00	0.03	0.00	0.11	0.10	0.14	0.00	0.17
NM_000448_RAG1	0.00	0.40	0.48	0.56	0.00	0.53	0.66	0.71	0.68	0.13	0.74	0.95
NM_000429_MAT1A	0.00	0.09	0.26	0.31	0.40	0.80	0.77	0.83	0.47	0.61	0.55	0.99
NM_000409_GUCA1A	2.37	0.88	0.00	0.00	4.38	4.19	2.41	0.00	2.72	0.00	0.53	0.00
NM_000334_SCN4A	0.00	0.39	0.00	0.00	0.00	1.27	0.00	0.00	0.36	1.23	0.00	0.00
NM_000326_RLBP1	0.00	0.04	0.00	0.00	0.03	0.05	0.00	0.00	0.00	0.04	0.03	0.00
NM_000267_NF1	1.93	0.91	3.88	2.60	2.25	0.00	4.72	2.55	3.04	1.38	5.04	4.96
NM_000160_GCGR	0.02	0.00	0.02	0.05	0.04	0.01	0.06	0.17	0.02	0.06	0.07	0.13
NM_000072_CD36	0.00	0.03	0.10	0.00	0.00	0.02	0.11	0.00	0.00	0.00	0.07	0.00
NM_000048_ASL	3.32	0.00	3.50	4.51	3.78	4.14	4.65	7.67	0.00	3.40	4.62	5.78
NM_000023_SGCA	0.00	0.15	0.13	0.09	0.00	0.05	0.04	0.00	0.00	0.16	0.14	0.09
